TYPE	MODEL	COLUMN	LEFT	RIGHT
STOCK DIVIDEND	P	ratio	Tỷ lệ thực hiện:|Tỷ lệ phân bổ quyền:	%|(cổ|<br/>
STOCK DIVIDEND	P	divtr	nhận|(	đồng
STOCK DIVIDEND	P	date_pay		
STOCK DIVIDEND	P	date_eff		
STOCK DIVIDEND	P	date_trd		
STOCK DIVIDEND	P	shares_add		
STOCK DIVIDEND	PDF	date_ex	không hưởng quyền:|không hưởng quyền :|không hưởng quyền  :|kh{ng hưởng quyền:|kh{ng hưởng quyền :	-
STOCK DIVIDEND	PDF	date_rec	cuối cùng:|cuối cùng :|cuối cùng    :|cuối cùng          :|cuối cùng                      :	-|1)|1.
STOCK DIVIDEND	PDF	period	tạm ứng cổ tức bằng tiền mặt đợt	năm
STOCK DIVIDEND	PDF	year	tạm ứng cổ tức năm|Tạm ứng cổ tức năm	và|bằng
STOCK DIVIDEND	PDF	ratio	Tỷ lệ thực hiện:|Tỷ lệ thực hiện   :|Tỷ lệ thanh	(|%|- Thời|.
STOCK DIVIDEND	PDF	divtr	giá (|01 cổ phiếu được nhận	đồng
STOCK DIVIDEND	PDF	date_pay	Thời gian thực hiện:|Thời gian thanh toán :|Thời gian thanh	-|Địa
STOCK DIVIDEND	PDF	shares_add	Số lượng cổ phiếu dự kiến phát hành:|Số lượng chứng khoin phit hành:|Số lượng chứng khoán phát hành:|Số lượng cổ phiếu phát hành thêm:	cổ phiếu|(
STOCK DIVIDEND	TXT	date_ex	Ngày giao dich không hứong quyên :|Ngáy gim dich không hưởng quyền:|Ngày giao địch không hưởng quyền :|Ngày giao dich không hứong quyên:|Ngày giao dịch không hưỏng quyền	-|(
STOCK DIVIDEND	TXT	date_rec	Ngày đăng ky Cưòi cùng :|Ngày đang kỷ cuổi cùng:|Ngày dảng kỷ cuốicùng :|Ngay đang kỳ cuôi cùng:|Ngày đăng kỷ cuối cùng|Ngày đăng ký cuối cùng :	I|-|Lý
STOCK DIVIDEND	TXT	period	Tạm ứng cỗ tức đợt|đợt	năm|UỈIII
STOCK DIVIDEND	TXT	year	UỈIII|năm	.|hăng|bằng
STOCK DIVIDEND	TXT	ratio	Ty Ịè thưc hịèn Z|Tỷ lệ thực hiện:|Tỷ lệ trà cồ túc:|Ty Ịê phat hanh:	%|(|- Thời
STOCK DIVIDEND	TXT	divtr	% (|được nhận	đôntl|đồng
STOCK DIVIDEND	TXT	date_pay	Thời gian thực hiện: ngày|Thời gian thực hiện: dự kiển ngày|gian thực biện:	I|Q|Đia|(
STOCK DIVIDEND	TXT	shares_add	Số lượng :|Số luọng :	cổ phiếu
STOCK DIVIDEND	TXT	date_eff	Ngày niêm yết có hiệu lực	-
STOCK DIVIDEND	TXT	date_trd	Ngày chính thức giao dịch	Nơi|.
